sweep_id,sweep_name,seed,img_s,use_warmup,warmup_epochs,acc,nll,ece,cv,gini,overflow,routing_entropy,eeu,nmi,nmi_top1,nmi_topk_soft,router_mode,elbo_samples,use_control_variate,beta_kl,kl_anneal,tau,top_k,capacity,weight_decay,w_importance,w_load
1,kl_mc_no_warmup_beta_0,0,544.5565827380268,False,0,0.4260999858379364,2.7177305221557617,0.04489893838763237,0.20046174507748954,0.10210336538461538,0.1875,0.515295035392046,1.0,0.3046942704547806,0.3046942704547806,0.2835446836692926,mc,4,True,0.0,5000,1.2,2,1.0,0.001,0.0,0.0
3,kl_mc_no_warmup_beta_1e-07,0,534.0315742354082,False,0,0.43050000071525574,2.6753315925598145,0.04408418759703636,0.159088854210879,0.08800167224080267,0.182421875,0.6259089805185795,1.0,0.30481155989197656,0.30481155989197656,0.279501167243717,mc,4,True,1e-07,5000,1.2,2,1.0,0.001,0.0,0.0
5,kl_mc_no_warmup_beta_1e-06,0,531.9930353418127,False,0,0.4318000078201294,2.66796875,0.04410417750477791,0.24453906904828074,0.12689577772385344,0.1951171875,0.46281529366970064,1.0,0.3199672425752026,0.3199672425752026,0.29984329954898853,mc,4,True,1e-06,5000,1.2,2,1.0,0.001,0.0,0.0
7,kl_mc_no_warmup_beta_1e-05,0,533.1960575052701,False,0,0.43380001187324524,2.6408939361572266,0.043150804936885834,0.1907365025732274,0.10023243177976335,0.1912109375,0.5509327866137028,1.0,0.3178932648742776,0.3178932648742776,0.29158475268272477,mc,4,True,1e-05,5000,1.2,2,1.0,0.001,0.0,0.0
9,kl_mc_no_warmup_beta_0.0001,0,534.70149148986,False,0,0.42730000615119934,2.7172696590423584,0.051186591386795044,0.15027227987143563,0.08174199953281944,0.1638671875,0.505097133666277,1.0,0.29813701442296947,0.29813701442296947,0.2800866544264313,mc,4,True,0.0001,5000,1.2,2,1.0,0.001,0.0,0.0
11,kl_mc_warmup_beta_0,0,524.8757669925878,True,10,0.5091999769210815,2.0206828117370605,0.08382727205753326,0.07605225319167065,0.043172748004561,0.1435546875,0.6149719655513763,1.0,0.3222621961920477,0.3222621961920477,0.2958507389822994,mc,4,True,0.0,5000,1.2,2,1.0,0.001,0.0,0.0
13,kl_mc_warmup_beta_1e-07,0,522.3395324838998,True,10,0.5029000043869019,2.0382912158966064,0.08905268460512161,0.09094175146773235,0.04649112829845314,0.14140625,0.6089082047343254,1.0,0.3136631921358478,0.3136631921358478,0.2908014064315754,mc,4,True,1e-07,5000,1.2,2,1.0,0.001,0.0,0.0
15,kl_mc_warmup_beta_1e-06,0,700.538743830173,True,10,0.5045999884605408,2.038351058959961,0.08523471653461456,0.06784766602315205,0.03821022727272727,0.140625,0.6043153941631317,1.0,0.314841015210984,0.314841015210984,0.2921274605087651,mc,4,True,1e-06,5000,1.2,2,1.0,0.001,0.0,0.0
17,kl_mc_warmup_beta_1e-05,0,494.34819330067535,True,10,0.5070000290870667,2.0100884437561035,0.09181280434131622,0.0783768525622701,0.04196914700544464,0.1390625,0.6028039358556271,1.0,0.3127366038925824,0.3127366038925824,0.29163335440660393,mc,4,True,1e-05,5000,1.2,2,1.0,0.001,0.0,0.0
19,kl_mc_warmup_beta_0.0001,0,698.9209396305887,True,10,0.5012000203132629,2.039924383163452,0.08515074104070663,0.07320897822519012,0.039754746835443035,0.1359375,0.6173216350376606,1.0,0.3130258993736186,0.3130258993736186,0.29335579289686736,mc,4,True,0.0001,5000,1.2,2,1.0,0.001,0.0,0.0
