dataset,model,bayes_router_mode,epochs,batch_size,lr,weight_decay,bayes_warmup_epochs,test_acc,test_nll,ece,cv,nmi,overflow,routing_entropy,H_E_norm,H_Y_norm,EAS,DARS,id_mean_conf,id_std_conf,id_n,ood_dataset,ood_mean_conf,ood_std_conf,ood_n
cifar10,bayes,expected,100,64,0.0005,0.001,5,0.8489000201225281,0.5739924311637878,0.0792432576417923,0.13162855725783842,0.48802208246469647,0.16209999999991895,0.6682032181578836,0.9967570633459415,1.0000000000056135,0.996757063340328,0.7423895729025123,0.9256724715232849,0.1472335159778595,10000,svhn,0.5724591016769409,0.32451942563056946,26032
cifar10,bayes,mc,100,64,0.0005,0.001,10,0.8533999919891357,0.5489284992218018,0.07277325540781021,0.1261499477654709,0.4560328139328752,0.1575999999999212,0.33450144500869095,0.9970070653072162,1.0000000000056135,0.9970070653016027,0.7265199396172389,0.923766016960144,0.15024495124816895,10000,svhn,0.43814027309417725,0.3535432815551758,26032
cifar10,simple,,100,64,0.0005,0.02,0,0.8087999820709229,0.656792938709259,0.07211515307426453,0.5155940137706289,0.46291580255928344,0.06774999999996613,1.8544131965394233,0.9198473583268281,1.0000000000056135,0.9198473583212146,0.691381580440249,0.8765910267829895,0.2294977903366089,10000,svhn,0.5656164288520813,0.34348350763320923,26032
cifar10,ec,,100,64,0.0005,0.02,0,0.424699991941452,1.4511808156967163,0.032382532954216,0.0,1.495656669075627e-10,0.0,2.433559490616914,1.0000000000102067,1.0000000000056135,0.9999999999954068,0.5000000000724862,0.45562973618507385,0.42592376470565796,10000,svhn,0.3303816020488739,0.3047158420085907,26032
cifar10,auxfree,,100,64,0.0005,0.02,0,0.8413000106811523,0.5684968829154968,0.0734574943780899,0.13856045692110955,0.4276155373614103,0.02109999999998945,1.8573377496877295,0.9965674677632003,1.0000000000056135,0.9965674677575868,0.7120915025594985,0.914412796497345,0.161116823554039,10000,svhn,0.5584350824356079,0.31837934255599976,26032
cifar10,base,,100,64,0.0005,0.02,0,0.8536999821662903,0.5169281959533691,0.06411445140838623,0.0,0.40303069787152324,0.0,2.0376993273473847,1.0000000000102067,1.0000000000056135,0.9999999999954068,0.701515348933465,0.9178144335746765,0.14914193749427795,10000,svhn,0.7385311126708984,0.18776674568653107,26032
cifar100,bayes,expected,100,64,0.0005,0.001,10,0.5275999903678894,2.7076189517974854,0.24876078963279724,0.06780180056087144,0.22574304302771425,0.14014999999992991,0.8589482895887581,0.9991530917798261,1.0000000000782825,0.9991530917015436,0.612448067364629,0.7759093642234802,0.23712225258350372,10000,svhn,0.3551505506038666,0.35931485891342163,26032
cifar100,bayes,mc,100,64,0.0005,0.001,20,0.5220000147819519,2.6808416843414307,0.23568567633628845,0.07086249556509878,0.24687165960857962,0.14024999999992988,0.5269485319116313,0.9990910165596063,1.0000000000782825,0.9990910164813238,0.6229813380449517,0.7574262619018555,0.2513051927089691,10000,svhn,0.3456585109233856,0.35260364413261414,26032
cifar100,simple,,100,64,0.0005,0.02,0,0.5115000009536743,2.5276689529418945,0.2074541449546814,0.6658208583725502,0.18581562525864204,0.09204999999995397,1.9451357338838517,0.8718708486978747,1.0000000000782825,0.8718708486195922,0.5288432369391172,0.7186806797981262,0.2887124717235565,10000,svhn,0.38140302896499634,0.334825724363327,26032
cifar100,ec,,100,64,0.0005,0.02,0,0.2937000095844269,3.1821722984313965,0.05599583685398102,0.0,1.4997828333045638e-09,0.0,2.147309282023436,1.0000000000102067,1.0000000000782825,0.9999999999319242,0.5000000007158535,0.3496958613395691,0.4011005461215973,10000,svhn,0.2143884003162384,0.26386237144470215,26032
cifar100,auxfree,,100,64,0.0005,0.02,0,0.5210999846458435,2.4805877208709717,0.22544319927692413,0.38865598213955227,0.2016893335096033,0.035799999999982096,1.3883890376728811,0.952936688643827,1.0000000000782825,0.9529366885655445,0.5773130110375739,0.743798017501831,0.25841718912124634,10000,svhn,0.3500443994998932,0.31353840231895447,26032
cifar100,base,,100,64,0.0005,0.02,0,0.5195000171661377,2.5184342861175537,0.2284700721502304,0.0,0.15185138008278803,0.0,1.885016262910928,1.0000000000102067,1.0000000000782825,0.9999999999319242,0.5759256900073562,0.7479700446128845,0.2513989210128784,10000,svhn,0.548400342464447,0.23888912796974182,26032
